real time, cpu time
6.63, 0.75
4.21, 0.93
3.59, 1.04
3.40, 1.18
4.35, 1.22
4.31, 1.25
4.61, 1.25
4.68, 1.34
4.87, 1.44
4.94, 1.48
4.66, 1.47
5.48, 1.61
5.62, 1.62
5.31, 1.64
5.67, 1.71
5.57, 1.75
5.62, 1.78
5.64, 1.81
5.65, 1.87
5.59, 1.90
5.61, 1.93
6.05, 2.02
6.20, 2.04
6.51, 2.09
8.38, 2.31
7.23, 2.19
6.95, 2.17
6.95, 2.17
6.91, 2.17
8.21, 2.32
7.40, 2.23
7.64, 2.27
7.41, 2.26
7.40, 2.27
7.52, 2.28
7.67, 2.31
7.88, 2.34
7.96, 2.36
8.12, 2.37
8.27, 2.39
8.46, 2.41
8.66, 2.46
9.01, 2.50
9.20, 2.53
9.47, 2.58
9.74, 2.61
9.76, 2.61
9.85, 2.62
10.27, 2.69
10.44, 2.70
10.44, 2.71
10.64, 2.74
10.97, 2.77
11.20, 2.79
11.37, 2.82
11.58, 2.85
11.80, 2.88
12.52, 2.99
12.63, 3.01
12.35, 2.97
13.01, 3.04
12.90, 3.05
12.99, 3.07
13.31, 3.13
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
illegal thread size
