D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.339e-06, 8.420e-12, 8.505e-12, 32.89
2, myDE, sphere, 4.216e-06, 7.885e-12, 7.964e-12, 22.54
2, myFA, sphere, 4.930e-06, 8.644e-12, 8.731e-12, 237.83
2, myPSO, rastrigin, 5.730e-06, 9.292e-12, 9.386e-12, 68.42
2, myDE, rastrigin, 4.730e-06, 8.600e-12, 8.687e-12, 56.52
2, myFA, rastrigin, 1.528e-01, 9.258e-02, 9.351e-02, 788.41
5, myPSO, sphere, 7.242e-06, 4.167e-12, 4.209e-12, 70.82
5, myDE, sphere, 6.532e-06, 5.578e-12, 5.635e-12, 67.51
5, myFA, sphere, 7.137e-06, 5.338e-12, 5.392e-12, 558.56
5, myPSO, rastrigin, 8.258e-01, 9.118e-01, 9.210e-01, 665.00
5, myDE, rastrigin, 1.099e-01, 9.683e-02, 9.781e-02, 421.17
5, myFA, rastrigin, 4.774e+00, 6.434e+00, 6.499e+00, 998.43
20, myPSO, sphere, 9.061e-06, 6.728e-13, 6.795e-13, 238.20
20, myDE, sphere, 1.440e-04, 5.424e-07, 5.478e-07, 371.97
20, myFA, sphere, 8.832e-06, 9.273e-13, 9.367e-13, 785.57
20, myPSO, rastrigin, 3.230e+01, 7.516e+01, 7.592e+01, 1000.00
20, myDE, rastrigin, 2.966e+01, 4.560e+02, 4.606e+02, 1000.00
20, myFA, rastrigin, 3.804e+01, 1.168e+02, 1.180e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.140e-06, 9.410e-12, 9.505e-12, 32.19
2, myDE, sphere, 4.485e-06, 8.819e-12, 8.908e-12, 22.14
2, myFA, sphere, 5.656e-06, 7.364e-12, 7.438e-12, 257.67
2, myPSO, rastrigin, 4.871e-06, 8.011e-12, 8.092e-12, 70.73
2, myDE, rastrigin, 4.773e-06, 8.823e-12, 8.912e-12, 57.04
2, myFA, rastrigin, 1.499e-01, 6.021e-02, 6.081e-02, 777.12
5, myPSO, sphere, 7.064e-06, 4.191e-12, 4.233e-12, 71.22
5, myDE, sphere, 7.073e-06, 5.161e-12, 5.213e-12, 67.42
5, myFA, sphere, 6.965e-06, 4.956e-12, 5.006e-12, 565.07
5, myPSO, rastrigin, 8.656e-01, 9.831e-01, 9.930e-01, 695.26
5, myDE, rastrigin, 1.194e-01, 1.045e-01, 1.056e-01, 427.74
5, myFA, rastrigin, 5.268e+00, 8.090e+00, 8.172e+00, 1000.00
20, myPSO, sphere, 8.929e-06, 7.178e-13, 7.251e-13, 238.55
20, myDE, sphere, 1.332e-04, 6.327e-07, 6.391e-07, 401.93
20, myFA, sphere, 8.927e-06, 9.499e-13, 9.595e-13, 785.55
20, myPSO, rastrigin, 3.190e+01, 1.028e+02, 1.039e+02, 1000.00
20, myDE, rastrigin, 2.893e+01, 5.500e+02, 5.556e+02, 1000.00
20, myFA, rastrigin, 4.081e+01, 1.564e+02, 1.580e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.703e-06, 9.512e-12, 9.608e-12, 31.44
2, myDE, sphere, 4.416e-06, 8.043e-12, 8.124e-12, 22.21
2, myFA, sphere, 4.897e-06, 7.878e-12, 7.957e-12, 233.17
2, myPSO, rastrigin, 5.269e-06, 8.552e-12, 8.639e-12, 69.78
2, myDE, rastrigin, 4.630e-06, 7.445e-12, 7.520e-12, 57.24
2, myFA, rastrigin, 1.449e-01, 6.241e-02, 6.304e-02, 833.02
5, myPSO, sphere, 7.058e-06, 5.130e-12, 5.182e-12, 70.53
5, myDE, sphere, 7.213e-06, 4.533e-12, 4.579e-12, 67.23
5, myFA, sphere, 7.146e-06, 4.786e-12, 4.834e-12, 550.16
5, myPSO, rastrigin, 8.858e-01, 6.706e-01, 6.774e-01, 776.83
5, myDE, rastrigin, 9.950e-02, 1.089e-01, 1.100e-01, 401.17
5, myFA, rastrigin, 4.472e+00, 5.678e+00, 5.735e+00, 998.43
20, myPSO, sphere, 9.118e-06, 6.231e-13, 6.294e-13, 237.40
20, myDE, sphere, 1.406e-02, 1.678e-02, 1.695e-02, 394.21
20, myFA, sphere, 8.915e-06, 8.190e-13, 8.272e-13, 783.91
20, myPSO, rastrigin, 3.492e+01, 1.051e+02, 1.062e+02, 1000.00
20, myDE, rastrigin, 3.004e+01, 3.672e+02, 3.710e+02, 1000.00
20, myFA, rastrigin, 3.842e+01, 1.721e+02, 1.738e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.732e-06, 7.711e-12, 7.789e-12, 31.16
2, myDE, sphere, 4.456e-06, 8.217e-12, 8.300e-12, 22.29
2, myFA, sphere, 5.317e-06, 9.579e-12, 9.675e-12, 245.54
2, myPSO, rastrigin, 9.955e-03, 9.800e-03, 9.899e-03, 82.13
2, myDE, rastrigin, 4.226e-06, 7.690e-12, 7.767e-12, 56.71
2, myFA, rastrigin, 7.181e-02, 2.010e-02, 2.030e-02, 767.31
5, myPSO, sphere, 7.201e-06, 4.354e-12, 4.398e-12, 69.63
5, myDE, sphere, 7.253e-06, 3.934e-12, 3.974e-12, 68.52
5, myFA, sphere, 6.829e-06, 4.845e-12, 4.894e-12, 554.44
5, myPSO, rastrigin, 8.059e-01, 6.077e-01, 6.139e-01, 724.36
5, myDE, rastrigin, 7.960e-02, 9.266e-02, 9.359e-02, 402.05
5, myFA, rastrigin, 5.435e+00, 8.222e+00, 8.305e+00, 997.99
20, myPSO, sphere, 9.012e-06, 8.602e-13, 8.689e-13, 240.29
20, myDE, sphere, 8.841e-05, 1.820e-07, 1.838e-07, 374.32
20, myFA, sphere, 8.781e-06, 1.036e-12, 1.047e-12, 783.68
20, myPSO, rastrigin, 3.276e+01, 8.336e+01, 8.420e+01, 1000.00
20, myDE, rastrigin, 3.017e+01, 5.336e+02, 5.390e+02, 1000.00
20, myFA, rastrigin, 3.927e+01, 1.511e+02, 1.526e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.841e-06, 9.057e-12, 9.149e-12, 31.14
2, myDE, sphere, 4.407e-06, 8.639e-12, 8.726e-12, 21.58
2, myFA, sphere, 4.618e-06, 8.481e-12, 8.566e-12, 244.07
2, myPSO, rastrigin, 4.931e-06, 7.773e-12, 7.852e-12, 68.43
2, myDE, rastrigin, 4.393e-06, 8.344e-12, 8.428e-12, 58.30
2, myFA, rastrigin, 1.296e-01, 5.176e-02, 5.228e-02, 870.11
5, myPSO, sphere, 6.983e-06, 3.778e-12, 3.816e-12, 70.27
5, myDE, sphere, 6.684e-06, 5.078e-12, 5.129e-12, 68.42
5, myFA, sphere, 7.321e-06, 4.163e-12, 4.205e-12, 563.87
5, myPSO, rastrigin, 8.457e-01, 6.608e-01, 6.675e-01, 746.48
5, myDE, rastrigin, 9.953e-02, 8.909e-02, 8.999e-02, 415.25
5, myFA, rastrigin, 5.149e+00, 7.860e+00, 7.939e+00, 1000.00
20, myPSO, sphere, 9.010e-06, 8.904e-13, 8.993e-13, 238.10
20, myDE, sphere, 3.220e-03, 9.783e-04, 9.882e-04, 350.94
20, myFA, sphere, 8.664e-06, 1.399e-12, 1.413e-12, 784.37
20, myPSO, rastrigin, 3.152e+01, 1.131e+02, 1.142e+02, 1000.00
